"Gene Symbol","MGI Gene Id","# Phenotype Hits","Phenotype Hits"
"Churc1","MGI:1923684","8","abnormal thymus morphology::abnormal spleen morphology::abnormal eye morphology::enlarged heart::increased startle reflex::increased effector memory T-helper cell number::enlarged thymus::abnormal heart morphology"
"Atp5o","MGI:106341","4","preweaning lethality, complete penetrance::improved glucose tolerance::decreased grip strength::embryonic lethality prior to organogenesis"
"Atp5l","MGI:1351597","8","increased circulating serum albumin level::preweaning lethality, complete penetrance::enlarged spleen::abnormal gait::decreased eosinophil cell number::enlarged heart::increased mean corpuscular hemoglobin::increased blood urea nitrogen level"
"Tafa4","MGI:2444563","1","increased circulating alkaline phosphatase level"
"Msto1","MGI:2385175","9","preweaning lethality, complete penetrance::increased circulating triglyceride level::dystrophy/Skeletal muscle - MPATH pathological process term::abnormal seminal vesicle morphology::enlarged kidney::small spleen::enlarged lymph nodes::embryonic lethality prior to organogenesis::decreased body length"
"Tafa1","MGI:2443695","1","decreased grip strength"
"Tafa3","MGI:3046463","4","abnormal eye morphology::increased bone mineral content::abnormal bone structure::preweaning lethality, incomplete penetrance"
"Tafa2","MGI:2143691","2","tremors::decreased fasting circulating glucose level"
"Etfb","MGI:106098","6","increased heart weight::increased spleen weight::abnormal retina morphology::abnormal retina vasculature morphology::persistence of hyaloid vascular system::abnormal optic disk morphology"
"Sparcl1","MGI:108110","2","abnormal uterus morphology::hydrometra"
"Fam205c","MGI:2679716","12","increased CD8-positive, naive alpha-beta T cell number::abnormal thymus morphology::enlarged heart::abnormal testis morphology::small testis::abnormal digit morphology::enlarged thymus::enlarged lymph nodes::abnormal heart morphology::abnormal auditory brainstem response::abnormal lymph node morphology::increased CD8-positive, alpha-beta T cell number"
"Adpgk","MGI:1919391","5","increased grip strength::increased bone mineral content::decreased total body fat amount::increased lean body mass::increased bone mineral density"
"Tprkb","MGI:1917036","1","preweaning lethality, complete penetrance"
"Sez6l","MGI:1935121","8","increased thigmotaxis::decreased circulating serum albumin level::increased circulating alkaline phosphatase level::abnormal gait::abnormal behavior::decreased locomotor activity::increased anxiety-related response::decreased respiratory quotient"
"Lima1","MGI:1920992","2","decreased thigmotaxis::preweaning lethality, incomplete penetrance"
"Fbxl22","MGI:1921415","1","short tibia"
"Eci3","MGI:1916373","1","increased circulating alanine transaminase level"
"Pcdhb9","MGI:2136744","2","increased grip strength::abnormal auditory brainstem response"
"Rabac1","MGI:1201692","1","abnormal sleep behavior"
"Myef2","MGI:104592","1","preweaning lethality, complete penetrance"
"Synpo2","MGI:2153070","8","preweaning lethality, complete penetrance::decreased leukocyte cell number::decreased lymphocyte cell number::decreased hemoglobin content::decreased erythrocyte cell number::decreased hematocrit::increased neutrophil cell number::prolonged PR interval"
"Fbxl20","MGI:1919444","3","increased mean corpuscular volume::preweaning lethality, incomplete penetrance::increased mean platelet volume"
"Fbxl21","MGI:2442921","1","limb grasping"
"Gin1","MGI:2182036","4","abnormal thymus morphology::enlarged thymus::abnormal heart shape::abnormal heart morphology"
"Ech1","MGI:1858208","2","decreased lean body mass::increased total body fat amount"
"Pcdha9","MGI:2447322","1","decreased exploration in new environment"
"Pcdha2","MGI:2681880","2","abnormal sternum morphology::enlarged lymph nodes"
"Mboat7","MGI:1924832","4","small seminal vesicle::decreased lean body mass::increased lymphocyte cell number::preweaning lethality, incomplete penetrance"
"Ythdf3","MGI:1918850","5","small liver::abnormal thymus morphology::abnormal liver morphology::increased circulating alanine transaminase level::enlarged thymus"
"Nnat","MGI:104716","4","enlarged heart::decreased bone mineral content::enlarged lymph nodes::abnormal lymph node morphology"
"Cnbp","MGI:88431","3","preweaning lethality, complete penetrance::embryonic growth retardation::abnormal embryo size"
"Mboat4","MGI:2685017","2","abnormal retina outer nuclear layer morphology::abnormal retina inner nuclear layer morphology"
"Mboat1","MGI:2387184","2","increased startle reflex::decreased prepulse inhibition"
"Rin3","MGI:2385708","6","decreased circulating chloride level::increased fasting circulating glucose level::decreased circulating iron level::decreased circulating glucose level::decreased circulating calcium level::decreased urine magnesium level"
"Mboat2","MGI:1914466","7","enlarged spleen::abnormal spleen morphology::decreased prepulse inhibition::decreased exploration in new environment::increased freezing behavior::enlarged lymph nodes::abnormal lymph node morphology"
"Rilp","MGI:2144271","1","decreased thigmotaxis"
"Arhgef7","MGI:1860493","1","preweaning lethality, complete penetrance"
"Arhgef6","MGI:1920591","5","hyperplasia/Spleen - MPATH pathological process term::decreased lymphocyte cell number::enlarged lymph nodes::increased circulating aspartate transaminase level::increased circulating potassium level"
"Pycr2","MGI:1277956","8","limb grasping::increased fasting circulating glucose level::decreased monocyte cell number::trunk curl::increased mean corpuscular hemoglobin::decreased bone mineral density::decreased Ly6C low monocyte number::absent pinna reflex"
"Fubp1","MGI:1196294","9","preweaning lethality, complete penetrance::decreased thigmotaxis::abnormal behavior::decreased locomotor activity::decreased anxiety-related response::dysplasia/Eye - MPATH pathological process term::abnormal skin morphology::enlarged lymph nodes::abnormal lymph node morphology"
"Rasa1","MGI:97860","7","preweaning lethality, complete penetrance::increased heart weight::embryonic lethality prior to tooth bud stage::thrombocytopenia::increased mean corpuscular hemoglobin::abnormal behavior::abnormal retina vasculature morphology"
"Arhgef2","MGI:103264","11","small liver::increased circulating serum albumin level::abnormal liver morphology::abnormal spleen morphology::increased circulating alkaline phosphatase level::increased circulating total protein level::thrombocytopenia::decreased brain size::small spleen::abnormal brain morphology::abnormal skin morphology"
"Arhgef1","MGI:1353510","23","decreased memory-marker gamma-delta T cell number::increased CD8-positive, alpha-beta memory T cell number::decreased marginal zone B cell number::increased KLRG1-positive NK cell number::increased monocyte cell number::increased hemoglobin content::decreased immature NK cell number::increased Ly6C low monocyte number::preweaning lethality, incomplete penetrance::increased KLRG1-positive CD4-positive, CD25-positive, alpha-beta regulatory T cell number::increased CD4-positive, alpha-beta memory T cell number::decreased memory-marker CD4-positive NK T cell number::increased plasmacytoid dendritic cell number::increased gamma-delta T cell number::increased CD4-positive, alpha beta T cell number::decreased CD8-positive, alpha-beta T cell number::increased effector memory CD8-positive, alpha-beta T cell number::increased hematocrit::decreased dendritic cell number::increased mature NK cell number::increased erythrocyte cell number::increased Ly6C-positive NK T cell number::decreased Ly6C-positive immature NK cell number"
"Rasa3","MGI:1197013","6","preweaning lethality, complete penetrance::increased heart weight::prenatal lethality prior to heart atrial septation::decreased circulating glucose level::decreased exploration in new environment::abnormal sleep behavior"
"Tmem30b","MGI:2442082","5","abnormal coat/hair pigmentation::enlarged heart::abnormal eye morphology::abnormal urinary bladder morphology::abnormal auditory brainstem response"
"Tmem30a","MGI:106402","1","preweaning lethality, complete penetrance"
"Lonp1","MGI:1921392","4","preweaning lethality, complete penetrance::decreased circulating iron level::increased circulating HDL cholesterol level::decreased prepulse inhibition"
"Crybg1","MGI:109544","7","preweaning lethality, complete penetrance::embryonic lethality prior to tooth bud stage::abnormal eye morphology::decreased prepulse inhibition::decreased total body fat amount::decreased exploration in new environment::increased blood urea nitrogen level"
"Id2","MGI:96397","2","increased circulating creatinine level::increased blood urea nitrogen level"
"Id3","MGI:96398","17","small liver::abnormal liver morphology::enlarged spleen::abnormal spleen morphology::microphthalmia::abnormal eye morphology::abnormal kidney morphology::small kidney::abnormal testis morphology::decreased brain size::small testis::decreased prepulse inhibition::increased spleen weight::preweaning lethality, incomplete penetrance::increased startle reflex::abnormal brain morphology::decreased body length"
"Dlec1","MGI:2443671","4","increased circulating alanine transaminase level::decreased mean corpuscular volume::male infertility::abnormal auditory brainstem response"
"Ehbp1l1","MGI:3612340","1","preweaning lethality, complete penetrance"
"Cisd1","MGI:1261855","2","increased circulating chloride level::increased mean platelet volume"
"Knstrn","MGI:1289298","10","abnormal cornea morphology::increased mean corpuscular volume::increased fasting circulating glucose level::thrombocytopenia::abnormal seminal vesicle morphology::cornea ulcer::tremors::increased mean corpuscular hemoglobin::decreased erythrocyte cell number::decreased hematocrit"
"Pck2","MGI:1860456","6","decreased circulating triglyceride level::abnormal stomach morphology::enlarged lymph nodes::abnormal skin morphology::increased circulating aspartate transaminase level::small epididymis"
"Slc11a1","MGI:1345275","5","enlarged spleen::abnormal spleen morphology::decreased lymphocyte cell number::increased neutrophil cell number::abnormal skin morphology"
"Pip4p1","MGI:2448501","2","hyperactivity::increased CD4-negative, CD25-positive NK T cell number"
"Tspoap1","MGI:2450877","3","increased circulating alkaline phosphatase level::increased grip strength::decreased prepulse inhibition"
"Ptk6","MGI:99683","1","abnormal urinary bladder morphology"
"Tomm70a","MGI:106295","2","preweaning lethality, complete penetrance::embryonic lethality prior to organogenesis"
"Gm12695","MGI:3650206","1","abnormal vocalization"
"Tmprss6","MGI:1919003","22","increased fasting circulating glucose level::decreased mean corpuscular hemoglobin::abnormal coat/hair pigmentation::decreased hemoglobin content::short tibia::decreased prepulse inhibition::decreased exploration in new environment::increased circulating calcium level::decreased hematocrit::abnormal skin morphology::decreased NK cell number::abnormal coat appearance::increased heart weight::increased effector memory CD8-positive, alpha-beta T cell number::decreased CD8-positive, alpha-beta T cell number::increased Ly6C-positive mature NK cell number::decreased mean corpuscular volume::decreased mean corpuscular hemoglobin concentration::decreased locomotor activity::increased CD11b-high dendritic cell number::abnormal coat/ hair morphology::immune system phenotype"
